NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ITGB5	44	3.8978524208068848	0.036209725	Yes	
row_1	S100A9	93	3.4134206771850586	0.067210585	Yes	
row_2	S100A8	104	3.349611520767212	0.10040887	Yes	
row_3	SNAP23	137	3.1575005054473877	0.13001361	Yes	
row_4	TLR4	168	2.9918103218078613	0.15808885	Yes	
row_5	NCF2	192	2.889641284942627	0.18565257	Yes	
row_6	CTSS	194	2.880363941192627	0.21476886	Yes	
row_7	NCF4	197	2.8632795810699463	0.24363714	Yes	
row_8	TLR2	263	2.625957727432251	0.2653851	Yes	
row_9	TLR1	311	2.4981987476348877	0.28718546	Yes	
row_10	CD36	377	2.3522446155548096	0.30615944	Yes	
row_11	VAMP3	385	2.336772918701172	0.3293176	Yes	
row_12	ITGAV	417	2.272815704345703	0.35003135	Yes	
row_13	CYBB	469	2.1861300468444824	0.36836964	Yes	
row_14	PSMD4	585	1.9790767431259155	0.3798195	Yes	
row_15	NCF1	602	1.9468986988067627	0.3983529	Yes	
row_16	PSMA4	694	1.8335280418395996	0.41012397	Yes	
row_17	VAMP8	734	1.782869815826416	0.42527357	Yes	
row_18	PSMA7	775	1.7149468660354614	0.43965995	Yes	
row_19	PSMB3	823	1.6606221199035645	0.45297188	Yes	
row_20	CHUK	869	1.6155239343643188	0.46597645	Yes	
row_21	PSMA5	888	1.5965917110443115	0.48080993	Yes	
row_22	PSMB4	894	1.5871601104736328	0.49652082	Yes	
row_23	IKBKG	1040	1.4540568590164185	0.50040454	Yes	
row_24	PSMB8	1089	1.406287670135498	0.51106405	Yes	
row_25	PSME1	1102	1.395546555519104	0.5243091	Yes	
row_26	LY96	1164	1.351539969444275	0.5334408	Yes	
row_27	PSME2	1171	1.3485385179519653	0.5466585	Yes	
row_28	PSMC6	1209	1.3214083909988403	0.55728114	Yes	
row_29	PSMB9	1266	1.271883249282837	0.5659798	Yes	
row_30	BTK	1290	1.2592427730560303	0.57702017	Yes	
row_31	MRC2	1335	1.2308002710342407	0.5862006	Yes	
row_32	PSMB5	1389	1.2014491558074951	0.59440994	Yes	
row_33	TLR6	1407	1.1905925273895264	0.6052037	Yes	
row_34	PSMA2	1494	1.1389094591140747	0.6103093	Yes	
row_35	PSMA6	1566	1.1001023054122925	0.61614436	Yes	
