NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYL9	4	5.163087368011475	0.07417858	Yes	
row_1	TPM1	16	4.572319030761719	0.13931319	Yes	
row_2	ACTC1	32	4.144822120666504	0.1979828	Yes	
row_3	MYH7	38	4.012892246246338	0.25549534	Yes	
row_4	TNNT2	41	3.9820566177368164	0.31278688	Yes	
row_5	PLN	55	3.7610156536102295	0.36606932	Yes	
row_6	ACTN2	72	3.600071430206299	0.41680637	Yes	
row_7	MYH6	120	3.2364346981048584	0.45998544	Yes	
row_8	MYBPC3	205	2.8062057495117188	0.49419832	Yes	
row_9	EPB41L3	413	2.277522563934326	0.5116094	Yes	
row_10	FLNC	418	2.2702231407165527	0.5440587	Yes	
row_11	CSRP1	437	2.251962184906006	0.5752002	Yes	
row_12	ANKRD1	453	2.218210458755493	0.6060787	Yes	
row_13	MYOM1	670	1.8546396493911743	0.61671823	Yes	
row_14	DICER1	719	1.7899751663208008	0.6389577	Yes	
row_15	FLII	864	1.620785117149353	0.65159506	Yes	
row_16	PDGFRB	1241	1.2871710062026978	0.64211315	Yes	
row_17	TMOD3	1305	1.2522926330566406	0.6554776	Yes	
row_18	WDR1	1460	1.1592499017715454	0.6607114	Yes	
row_19	CD9	1551	1.1079230308532715	0.66997916	Yes	
row_20	AGFG1	1823	0.9730322360992432	0.6637987	Yes	
row_21	MEF2A	1852	0.9604088664054871	0.6755637	Yes	
row_22	TTN	2405	0.7396401762962341	0.6450543	No	
row_23	CAPN3	2724	0.6396756768226624	0.630559	No	
row_24	NEBL	3388	0.48275262117385864	0.58806354	No	
row_25	SYNPO2L	3821	0.3926422595977783	0.56150055	No	
row_26	TMOD1	4219	0.33181121945381165	0.5366711	No	
row_27	TMOD2	4526	0.2866508960723877	0.51797867	No	
row_28	CFLAR	5061	0.2153150588274002	0.4812487	No	
row_29	PGM5	5212	0.19606536626815796	0.47288707	No	
row_30	ACRBP	5961	0.11162527650594711	0.41869718	No	
row_31	TCAP	6105	0.09693329781293869	0.40942776	No	
row_32	MYH3	6398	0.07109563052654266	0.38867038	No	
row_33	CCDC136	7606	-0.02131640538573265	0.29893684	No	
row_34	MYBPC2	8004	-0.05498630180954933	0.2701142	No	
row_35	RFX2	8255	-0.07648502290248871	0.25256774	No	
row_36	MYLK3	8473	-0.09909050911664963	0.2378091	No	
row_37	PDGFRA	8596	-0.10989353060722351	0.23029323	No	
row_38	PMP22	9103	-0.1620522439479828	0.1948837	No	
row_39	VPS13B	9311	-0.18872597813606262	0.18216406	No	
row_40	PAFAH1B1	9359	-0.19537471234798431	0.18147616	No	
row_41	TNNT1	9918	-0.2698477804660797	0.14374243	No	
row_42	SPINK2	10003	-0.2832793593406677	0.14156239	No	
row_43	SIX4	10185	-0.3146671950817108	0.132599	No	
row_44	CNTNAP1	10486	-0.3687097430229187	0.11553789	No	
row_45	NEB	10986	-0.47833332419395447	0.08521288	No	
row_46	OBSCN	11336	-0.572119414806366	0.06743057	No	
row_47	SLC9A8	11342	-0.5742262601852417	0.07534073	No	
row_48	TNNT3	11506	-0.6266084909439087	0.07221985	No	
row_49	ABCA2	12087	-0.8699613809585571	0.041501503	No	
row_50	TENM4	12288	-0.9984066486358643	0.040983606	No	
row_51	TPPP	12915	-1.5501532554626465	0.016645402	No	
row_52	MYOM2	12996	-1.6438878774642944	0.034390382	No	
