NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPS6KA1	1256	1.2790160179138184	-0.07009432	No	
row_1	RPL36A	3589	0.4378760755062103	-0.23629725	No	
row_2	RPL37	3602	0.4361671209335327	-0.22907406	No	
row_3	RPL26	3934	0.37590381503105164	-0.24682328	No	
row_4	RPL11	4327	0.31657394766807556	-0.27023783	No	
row_5	RPS24	4707	0.2604716718196869	-0.29372492	No	
row_6	RPS3	5500	0.16152596473693848	-0.34993267	No	
row_7	RPL41	5635	0.1452062875032425	-0.35724795	No	
row_8	RPS4Y1	6017	0.10691110789775848	-0.38374352	No	
row_9	RPS12	6209	0.08738674223423004	-0.39639696	No	
row_10	RPL17	6248	0.0838126391172409	-0.3976777	No	
row_11	RPL23	6573	0.0559004582464695	-0.42086124	No	
row_12	RPS11	7104	0.015110130421817303	-0.4602061	No	
row_13	RPS6KB2	7419	-0.006348682101815939	-0.48356456	No	
row_14	MRPL19	7790	-0.037406835705041885	-0.51053166	No	
row_15	RPS18	8426	-0.09383779019117355	-0.5562613	No	
row_16	RPL27A	8524	-0.10352902114391327	-0.56158614	No	
row_17	RPLP1	8572	-0.1084393784403801	-0.56308126	No	
row_18	RPL15	8722	-0.12334395200014114	-0.5719251	No	
row_19	RPL39	8910	-0.14269839227199554	-0.5832497	No	
row_20	RPSA	9063	-0.1573823243379593	-0.5916841	No	
row_21	RPS16	9300	-0.18732839822769165	-0.60584134	No	
row_22	RPS6	9586	-0.22403161227703094	-0.6229788	No	
row_23	RPS13	9662	-0.23440289497375488	-0.6242223	No	
row_24	RPL32	9676	-0.2369772344827652	-0.6207823	No	
row_25	RPL29	9782	-0.25086086988449097	-0.62396234	No	
row_26	RPL38	9788	-0.25164443254470825	-0.61965114	No	
row_27	RPS29	10058	-0.29223084449768066	-0.63432264	No	
row_28	RPL31	10252	-0.3261227011680603	-0.64268094	Yes	
row_29	RPL35A	10270	-0.32951393723487854	-0.6378172	Yes	
row_30	RPL37A	10274	-0.3304482400417328	-0.63188934	Yes	
row_31	RPL5	10278	-0.3313514292240143	-0.6259447	Yes	
row_32	RPS7	10441	-0.3591044545173645	-0.63137114	Yes	
row_33	RPL6	10478	-0.36668235063552856	-0.627236	Yes	
row_34	RPL27	10538	-0.3789865970611572	-0.62459135	Yes	
row_35	RPL30	10566	-0.3872915208339691	-0.6193996	Yes	
row_36	RPL34	10576	-0.38950273394584656	-0.6128209	Yes	
row_37	RPL22	10613	-0.39576563239097595	-0.6081443	Yes	
row_38	RPS6KA2	10642	-0.4021535813808441	-0.6027506	Yes	
row_39	RPS3A	10668	-0.4107013940811157	-0.5969735	Yes	
row_40	RPS17	10883	-0.45405298471450806	-0.6045201	Yes	
row_41	RPL21	11059	-0.49887779355049133	-0.6083163	Yes	
row_42	RPS27	11069	-0.5012853741645813	-0.59965646	Yes	
row_43	RPL18A	11139	-0.5176135301589966	-0.5951786	Yes	
row_44	RPS20	11144	-0.51897132396698	-0.58581567	Yes	
row_45	RPS23	11229	-0.5434653162956238	-0.58197796	Yes	
row_46	RPS8	11262	-0.5521700978279114	-0.5740904	Yes	
row_47	RPL4	11311	-0.5660585165023804	-0.5671405	Yes	
row_48	RPS27A	11330	-0.5714782476425171	-0.5578468	Yes	
row_49	RPL23A	11370	-0.5854529738426208	-0.5498629	Yes	
row_50	RPL28	11384	-0.5901389122009277	-0.5398479	Yes	
row_51	RPS6KA3	11389	-0.5917598009109497	-0.5291298	Yes	
row_52	RPL7A	11403	-0.5971387028694153	-0.5189845	Yes	
row_53	RPL12	11449	-0.6106153726577759	-0.5109808	Yes	
row_54	RPL7	11476	-0.6191550493240356	-0.5013975	Yes	
row_55	RPS14	11555	-0.6427628397941589	-0.49526256	Yes	
row_56	RPS21	11612	-0.6616195440292358	-0.48713169	Yes	
row_57	RPS10	11642	-0.6727980375289917	-0.47677404	Yes	
row_58	RPS25	11800	-0.7412774562835693	-0.4747115	Yes	
row_59	RPL8	11941	-0.8052738904953003	-0.47018653	Yes	
row_60	RPS26	11993	-0.8283994197845459	-0.4585768	Yes	
row_61	RPS6KB1	12085	-0.8682164549827576	-0.4492164	Yes	
row_62	RPL19	12104	-0.8788985013961792	-0.4341992	Yes	
row_63	FAU	12129	-0.890110433101654	-0.41942185	Yes	
row_64	RPL14	12158	-0.903551459312439	-0.40469334	Yes	
row_65	RPL36	12166	-0.9083755016326904	-0.38830492	Yes	
row_66	RPS28	12168	-0.9085152745246887	-0.3714653	Yes	
row_67	RPL13A	12299	-1.003041386604309	-0.36251068	Yes	
row_68	RPL35	12319	-1.0161477327346802	-0.345013	Yes	
row_69	RPLP0	12378	-1.0580681562423706	-0.32965073	Yes	
row_70	RPS9	12440	-1.1030563116073608	-0.3136752	Yes	
row_71	RPL10	12588	-1.2183289527893066	-0.30198348	Yes	
row_72	RPL18	12660	-1.2833889722824097	-0.28339824	Yes	
row_73	RPL10A	12683	-1.2977042198181152	-0.26088294	Yes	
row_74	RPL9	12706	-1.3307985067367554	-0.23775151	Yes	
row_75	RPLP2	12738	-1.3611454963684082	-0.21472798	Yes	
row_76	RPS19	12757	-1.3827800750732422	-0.1903297	Yes	
row_77	RPL13	12768	-1.393127202987671	-0.16514066	Yes	
row_78	RPL3	12804	-1.4161235094070435	-0.14139263	Yes	
row_79	RPS5	12873	-1.5016744136810303	-0.11851915	Yes	
row_80	RPS15	12958	-1.6033239364624023	-0.09494945	Yes	
row_81	RPS2	13063	-1.730333685874939	-0.07051046	Yes	
row_82	RPS4X	13446	-5.365533351898193	8.222342E-4	Yes	
