NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ASAH1	96	3.386504888534546	0.09353608	Yes	
row_1	CTSA	133	3.1752684116363525	0.18525979	Yes	
row_2	GLA	174	2.960453510284424	0.27029893	Yes	
row_3	GLB1L	195	2.8705201148986816	0.35415357	Yes	
row_4	NEU1	272	2.5917558670043945	0.42555013	Yes	
row_5	HEXB	539	2.044184684753418	0.46651828	Yes	
row_6	NEU3	705	1.816243290901184	0.5082305	Yes	
row_7	PSAP	733	1.7831227779388428	0.55923426	Yes	
row_8	GLB1	837	1.6486660242080688	0.60058105	Yes	
row_9	ARSB	982	1.50821053981781	0.63469887	Yes	
row_10	SUMF1	1084	1.4128788709640503	0.6691844	Yes	
row_11	M6PR	1207	1.3219901323318481	0.69940394	Yes	
row_12	GBA2	1397	1.1959275007247925	0.72088623	Yes	
row_13	GM2A	1524	1.1217188835144043	0.74485356	Yes	
row_14	HEXA	3037	0.5610290765762329	0.6489415	No	
row_15	ARSG	3786	0.4010157883167267	0.6051638	No	
row_16	SMPD3	4055	0.35513994097709656	0.5957657	No	
row_17	ARSA	4068	0.3531262278556824	0.605371	No	
row_18	GALC	4517	0.28811323642730713	0.5805763	No	
row_19	SUMF2	4839	0.24255546927452087	0.56388426	No	
row_20	ARSK	5271	0.18844233453273773	0.5373922	No	
row_21	ARSD	6232	0.0854158103466034	0.46844462	No	
row_22	GLB1L2	6380	0.072052963078022	0.45964035	No	
row_23	GLB1L3	6661	0.049704357981681824	0.44026774	No	
row_24	ASAH2	7070	0.01755986176431179	0.4104078	No	
row_25	SMPD2	8554	-0.10648933798074722	0.3031412	No	
row_26	STS	9752	-0.24643012881278992	0.22133242	No	
row_27	SMPD1	11716	-0.7055690884590149	0.096133634	No	
row_28	SMPD4	12473	-1.1246320009231567	0.073274195	No	
