NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TPM1	16	4.572319030761719	0.07646171	Yes	
row_1	ACTC1	32	4.144822120666504	0.14573754	Yes	
row_2	MYH7	38	4.012892246246338	0.21351805	Yes	
row_3	TNNT2	41	3.9820566177368164	0.28099847	Yes	
row_4	MYL7	43	3.907740831375122	0.34729126	Yes	
row_5	TNNI1	84	3.489672899246216	0.40357703	Yes	
row_6	MYH6	120	3.2364346981048584	0.45593455	Yes	
row_7	MYBPC3	205	2.8062057495117188	0.4973332	Yes	
row_8	KCNE3	284	2.5577995777130127	0.5349602	Yes	
row_9	GPX1	303	2.5115456581115723	0.5762736	Yes	
row_10	KCNJ2	664	1.8592952489852905	0.5810194	Yes	
row_11	KCNE1	736	1.780387282371521	0.6059649	Yes	
row_12	SLC8A1	750	1.75057053565979	0.6347269	Yes	
row_13	TNNC1	812	1.6727333068847656	0.65858936	Yes	
row_14	MYL4	1042	1.4528602361679077	0.6661962	Yes	
row_15	SCN1B	1070	1.4278943538665771	0.68843454	Yes	
row_16	TNNI2	1104	1.3945262432098389	0.70965904	Yes	
row_17	NEDD4L	2059	0.8755229115486145	0.6534247	No	
row_18	GPD1L	2239	0.7984868288040161	0.65364456	No	
row_19	TTN	2405	0.7396401762962341	0.65390843	No	
row_20	GAA	3038	0.5609779357910156	0.6163314	No	
row_21	GSN	4735	0.25592777132987976	0.49427116	No	
row_22	PKP2	4784	0.25007155537605286	0.49494073	No	
row_23	SCN9A	5002	0.22313039004802704	0.48255676	No	
row_24	CACNA1D	5690	0.13961130380630493	0.43372416	No	
row_25	TCAP	6105	0.09693329781293869	0.40451404	No	
row_26	KCNE4	8520	-0.10343371331691742	0.22634971	No	
row_27	SOD1	8571	-0.10833389312028885	0.224463	No	
row_28	SCN8A	8789	-0.13181249797344208	0.21052812	No	
row_29	DMD	8869	-0.13893356919288635	0.20699966	No	
row_30	KCNQ1	8898	-0.1417512595653534	0.2073202	No	
row_31	SCN11A	9004	-0.1514277309179306	0.20206608	No	
row_32	ATP1A1	9941	-0.27299532294273376	0.13694027	No	
row_33	RANGRF	10466	-0.36393454670906067	0.104066245	No	
row_34	SNTA1	10467	-0.3645170032978058	0.11025704	No	
row_35	ATP1B1	11819	-0.749093234539032	0.022286149	No	
row_36	KCNH2	11968	-0.818668782711029	0.025159271	No	
row_37	SCN3A	12110	-0.8804043531417847	0.029602611	No	
row_38	CAMK2D	12125	-0.8867329359054565	0.043619037	No	
row_39	PIK3CA	12470	-1.1222805976867676	0.037040234	No	
row_40	ACE	13211	-2.1461048126220703	0.018334813	No	
