NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DSC2	19	4.475377082824707	0.16423655	Yes	
row_1	JAM3	26	4.251419544219971	0.32115126	Yes	
row_2	ITGB3	101	3.3670592308044434	0.44027063	Yes	
row_3	CD1D	356	2.379316806793213	0.509431	Yes	
row_4	LILRB2	384	2.3407437801361084	0.5940611	Yes	
row_5	ITGAV	417	2.272815704345703	0.67580473	Yes	
row_6	CD58	901	1.5830291509628296	0.69844514	Yes	
row_7	ITGB1	999	1.4867106676101685	0.74625355	Yes	
row_8	ITGB2	1451	1.1626609563827515	0.75571656	Yes	
row_9	ITGA5	1568	1.0984362363815308	0.78773904	Yes	
row_10	ITGA4	3124	0.5405059456825256	0.6919942	No	
row_11	PKP2	4784	0.25007155537605286	0.57775766	No	
row_12	JUP	5486	0.16299831867218018	0.53160983	No	
row_13	CD2	6033	0.10555119812488556	0.49487352	No	
row_14	ITGB7	6041	0.10452445596456528	0.4982213	No	
row_15	ITGAX	6170	0.09124436229467392	0.49207056	No	
row_16	ITGA7	6339	0.07584752142429352	0.48237237	No	
row_17	RNASE10	6860	0.03354895859956741	0.4449064	No	
row_18	CD200	7474	-0.010353345423936844	0.39965913	No	
row_19	DSG2	9016	-0.1524890810251236	0.29059437	No	
row_20	ITGAD	9431	-0.20371343195438385	0.26731727	No	
row_21	NINJ1	9634	-0.23054875433444977	0.26081428	No	
row_22	CD200R1	10013	-0.2842840850353241	0.24319917	No	
row_23	DSP	10404	-0.3536736071109772	0.22725917	No	
