NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DMXL2	66	3.6369969844818115	0.07878166	Yes	
row_1	SLC11A1	81	3.502595901489258	0.15834537	Yes	
row_2	ATP6V1A	286	2.5533289909362793	0.2019041	Yes	
row_3	RAB39A	431	2.2568719387054443	0.24311158	Yes	
row_4	ATP6V1B2	449	2.2211363315582275	0.29296085	Yes	
row_5	CLCN3	498	2.124410390853882	0.33827397	Yes	
row_6	ATP6V0D1	512	2.0949788093566895	0.385518	Yes	
row_7	ATP6V0E1	661	1.8631542921066284	0.4173666	Yes	
row_8	ATP6V1D	769	1.7271398305892944	0.44914034	Yes	
row_9	LAMP1	876	1.6067581176757812	0.47821826	Yes	
row_10	GRN	1087	1.4079663753509521	0.49497104	Yes	
row_11	ATP6V0B	1113	1.3871092796325684	0.52503026	Yes	
row_12	RNASEK	1120	1.3820048570632935	0.5563879	Yes	
row_13	ATP6AP2	1146	1.3625261783599854	0.58588135	Yes	
row_14	LAMP2	1200	1.3265522718429565	0.6124604	Yes	
row_15	TPCN2	1222	1.3034095764160156	0.64089143	Yes	
row_16	ATP6V0A1	1261	1.2771326303482056	0.66745096	Yes	
row_17	CLN5	1469	1.1552258729934692	0.67861086	Yes	
row_18	ATP6V1F	1627	1.070587396621704	0.691549	Yes	
row_19	TCIRG1	1710	1.0294729471206665	0.70913005	Yes	
row_20	PPT1	1721	1.0236546993255615	0.7319427	Yes	
row_21	CLN6	2205	0.8131253123283386	0.71466184	No	
row_22	ATP6AP1	2392	0.7434617280960083	0.7179106	No	
row_23	CLN3	2550	0.6958177089691162	0.72222394	No	
row_24	DMXL1	2672	0.656230092048645	0.72830904	No	
row_25	GPR89A	3015	0.566007137298584	0.71584857	No	
row_26	GPR89B	3291	0.5008565187454224	0.7068817	No	
row_27	RAB38	3405	0.4777715802192688	0.709456	No	
row_28	CCDC115	4642	0.2701323926448822	0.6235645	No	
row_29	SLAMF8	4790	0.24937091767787933	0.6183488	No	
row_30	ATP6V0A2	5878	0.12095446139574051	0.5401278	No	
row_31	TMEM199	6978	0.024390198290348053	0.45879033	No	
row_32	ATP6V1H	7320	-1.371011749142781E-4	0.43338177	No	
row_33	SLC4A7	7639	-0.023292632773518562	0.41022006	No	
row_34	TMEM9	8113	-0.06357342004776001	0.3764346	No	
row_35	RAB20	8312	-0.08260197192430496	0.36358035	No	
row_36	ATP6V0C	8616	-0.11185050755739212	0.3435745	No	
row_37	ATP6V0E2	8841	-0.13580942153930664	0.3300072	No	
row_38	RAB7A	11433	-0.6043499708175659	0.15083097	No	
