NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SNCA	88	3.470996618270874	0.115251064	Yes	
row_1	AIF1	159	3.029571056365967	0.21635173	Yes	
row_2	PSEN1	278	2.5704727172851562	0.29777002	Yes	
row_3	CLU	282	2.5633254051208496	0.38749596	Yes	
row_4	TYROBP	376	2.3551292419433594	0.4632182	Yes	
row_5	ITGAM	427	2.261624813079834	0.5388594	Yes	
row_6	APP	428	2.2605550289154053	0.6181842	Yes	
row_7	ITGB1	999	1.4867106676101685	0.6279339	Yes	
row_8	GRN	1087	1.4079663753509521	0.67086595	Yes	
row_9	JAK2	1279	1.2654136419296265	0.7010559	Yes	
row_10	TNF	1303	1.2534410953521729	0.7433285	Yes	
row_11	ITGB2	1451	1.1626609563827515	0.7731873	Yes	
row_12	IFNGR1	1485	1.146496295928955	0.81096286	Yes	
row_13	CX3CR1	1973	0.9129515290260315	0.8067559	No	
row_14	LRP1	3725	0.41201645135879517	0.69090205	No	
row_15	C1QA	3852	0.3879472315311432	0.69513834	No	
row_16	IFNG	5219	0.1954549252986908	0.60033745	No	
row_17	CNTF	6173	0.0909581333398819	0.53260565	No	
row_18	C5AR1	7841	-0.04154789447784424	0.4100032	No	
row_19	AZU1	8226	-0.07353638857603073	0.3840058	No	
row_20	AGER	8981	-0.14869628846645355	0.33310997	No	
