NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENDOD1	28	4.193558692932129	0.029405447	Yes	
row_1	VWF	30	4.1633830070495605	0.06060518	Yes	
row_2	ANXA5	39	3.9862680435180664	0.0899505	Yes	
row_3	SELP	54	3.8158159255981445	0.117566325	Yes	
row_4	PROS1	56	3.737607002258301	0.1455677	Yes	
row_5	PPBP	69	3.620683193206787	0.17186742	Yes	
row_6	VCL	71	3.6028594970703125	0.19885659	Yes	
row_7	ACTN2	72	3.600071430206299	0.22589968	Yes	
row_8	MMRN1	91	3.427473545074463	0.25029895	Yes	
row_9	ITGB3	101	3.3670592308044434	0.27491802	Yes	
row_10	GTPBP2	102	3.3562450408935547	0.30012953	Yes	
row_11	ABCC4	115	3.269864320755005	0.32379398	Yes	
row_12	ITGA2B	153	3.057621717453003	0.3439928	Yes	
row_13	EGF	177	2.9412848949432373	0.36436567	Yes	
row_14	F13A1	231	2.713111639022827	0.380779	Yes	
row_15	TMSB4X	260	2.6311116218566895	0.39844763	Yes	
row_16	CLU	282	2.5633254051208496	0.416131	Yes	
row_17	FERMT3	324	2.465965747833252	0.43158603	Yes	
row_18	CYB5R1	329	2.4424495697021484	0.44963387	Yes	
row_19	LY6G6F	368	2.3679559230804443	0.46457723	Yes	
row_20	CD36	377	2.3522446155548096	0.48164806	Yes	
row_21	TUBA4A	412	2.278834104537964	0.49622133	Yes	
row_22	PF4	425	2.2620291709899902	0.5123151	Yes	
row_23	APP	428	2.2605550289154053	0.52914625	Yes	
row_24	TLN1	496	2.128206491470337	0.540118	Yes	
row_25	SERPINA1	510	2.0973405838012695	0.5548998	Yes	
row_26	RAB27B	568	1.9959248304367065	0.5656264	Yes	
row_27	CAP1	599	1.9522883892059326	0.5780461	Yes	
row_28	STXBP2	651	1.8745059967041016	0.58830965	Yes	
row_29	PSAP	733	1.7831227779388428	0.5956413	Yes	
row_30	ALDOA	743	1.7674795389175415	0.6082446	Yes	
row_31	PECAM1	784	1.6978602409362793	0.6180046	Yes	
row_32	VTI1B	804	1.6807093620300293	0.6292077	Yes	
row_33	APLP2	844	1.641310691833496	0.63861775	Yes	
row_34	SPARC	930	1.5589354038238525	0.6439659	Yes	
row_35	TMX3	956	1.532772421836853	0.65360856	Yes	
row_36	FLNA	962	1.5239238739013672	0.66468173	Yes	
row_37	SYTL4	1166	1.3508703708648682	0.65963465	Yes	
row_38	HGF	1198	1.327749252319336	0.66728806	Yes	
row_39	LAMP2	1200	1.3265522718429565	0.677178	Yes	
row_40	FN1	1361	1.217957615852356	0.6743511	Yes	
row_41	WDR1	1460	1.1592499017715454	0.67572385	Yes	
row_42	CD9	1551	1.1079230308532715	0.6773098	Yes	
row_43	PCYOX1L	1572	1.0968142747879028	0.6840519	Yes	
row_44	PFN1	1586	1.0895828008651733	0.69126356	Yes	
row_45	CFL1	1750	1.0078084468841553	0.68663347	Yes	
row_46	CALU	1754	1.006366491317749	0.69396853	Yes	
row_47	MAGED2	2100	0.8581855893135071	0.6745917	No	
row_48	LHFPL2	2177	0.8257845640182495	0.6751062	No	
row_49	TTN	2405	0.7396401762962341	0.66367126	No	
row_50	PLEK	2439	0.7275662422180176	0.66666657	No	
row_51	F8	2612	0.6744381785392761	0.6588586	No	
row_52	ITIH4	2622	0.6711542010307312	0.6632265	No	
row_53	TOR4A	2675	0.6554242372512817	0.6642577	No	
row_54	PPIA	2948	0.5810848474502563	0.64826345	No	
row_55	SERPING1	3283	0.502454400062561	0.62703776	No	
row_56	TAGLN2	3349	0.4890349209308624	0.6258461	No	
row_57	QSOX1	3391	0.48117586970329285	0.6263917	No	
row_58	CD63	3442	0.4655507504940033	0.6261463	No	
