NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PANX1	45	3.888108491897583	0.061143234	Yes	
row_1	TLR8	130	3.1820783615112305	0.10766655	Yes	
row_2	TLR4	168	2.9918103218078613	0.1545379	Yes	
row_3	MEFV	185	2.9212770462036133	0.20180495	Yes	
row_4	LILRA5	249	2.672950267791748	0.24144828	Yes	
row_5	NLRC4	326	2.4589877128601074	0.276573	Yes	
row_6	TYROBP	376	2.3551292419433594	0.31198794	Yes	
row_7	CD36	377	2.3522446155548096	0.3510085	Yes	
row_8	LILRA2	379	2.3514389991760254	0.38994113	Yes	
row_9	NOD2	395	2.3127284049987793	0.42718774	Yes	
row_10	CASP1	403	2.299999952316284	0.4648197	Yes	
row_11	APP	428	2.2605550289154053	0.50052977	Yes	
row_12	NLRP12	440	2.240342617034912	0.5368739	Yes	
row_13	CLEC7A	495	2.1293423175811768	0.56817055	Yes	
row_14	LGALS9	814	1.671234130859375	0.5721839	Yes	
row_15	LPL	951	1.5376777648925781	0.5875517	Yes	
row_16	NAIP	1053	1.4441561698913574	0.60397774	Yes	
row_17	PYCARD	1054	1.442765235900879	0.62791127	Yes	
row_18	P2RX7	1153	1.3598248958587646	0.643162	Yes	
row_19	AIM2	1203	1.325404167175293	0.66149527	Yes	
row_20	CCL3	1225	1.3013583421707153	0.68151724	Yes	
row_21	JAK2	1279	1.2654136419296265	0.6985571	Yes	
row_22	TNF	1303	1.2534410953521729	0.7176351	Yes	
row_23	TLR6	1407	1.1905925273895264	0.7297057	Yes	
row_24	TMEM106A	2614	0.6741520762443542	0.6509695	No	
row_25	CARD8	2892	0.5937620997428894	0.64016604	No	
row_26	GSDMD	2925	0.5868048667907715	0.6475144	No	
row_27	GBP5	3060	0.55439692735672	0.64672005	No	
row_28	FZD5	3704	0.4162583351135254	0.6056831	No	
row_29	CASP8	4390	0.30761751532554626	0.5597124	No	
row_30	NLRP1	5131	0.20629830658435822	0.50796014	No	
row_31	TRIM16	5151	0.2040497064590454	0.5099284	No	
row_32	IFI16	5205	0.19698241353034973	0.5092444	No	
row_33	IFNG	5219	0.1954549252986908	0.5115174	No	
row_34	STAT3	6023	0.10652244836091995	0.45341274	No	
row_35	F2RL1	7214	0.0068771010264754295	0.3648003	No	
row_36	HSPB1	7646	-0.023867694661021233	0.33306083	No	
row_37	AZU1	8226	-0.07353638857603073	0.29111043	No	
row_38	MYD88	8538	-0.10463295876979828	0.26965794	No	
row_39	NLRP3	8653	-0.1161704882979393	0.26308522	No	
row_40	AGER	8981	-0.14869628846645355	0.24117072	No	
row_41	MALT1	11045	-0.49456995725631714	0.095557496	No	
row_42	RIPK2	11633	-0.6686803102493286	0.06288323	No	
row_43	NLRP2	12402	-1.0784828662872314	0.02351164	No	
row_44	RELA	12695	-1.3226547241210938	0.023681141	No	
row_45	EGR1	13166	-1.9928733110427856	0.021696962	No	
