NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	PANX1	45	3.888108491897583	0.058312178	Yes	
row_1	TLR8	130	3.1820783615112305	0.1025172	Yes	
row_2	TLR4	168	2.9918103218078613	0.14721005	Yes	
row_3	MEFV	185	2.9212770462036133	0.19235052	Yes	
row_4	LILRA5	249	2.672950267791748	0.2300467	Yes	
row_5	NLRC4	326	2.4589877128601074	0.2633796	Yes	
row_6	TYROBP	376	2.3551292419433594	0.29707912	Yes	
row_7	CD36	377	2.3522446155548096	0.33438766	Yes	
row_8	LILRA2	379	2.3514389991760254	0.37160885	Yes	
row_9	NOD2	395	2.3127284049987793	0.40717185	Yes	
row_10	CASP1	403	2.299999952316284	0.44312963	Yes	
row_11	APP	428	2.2605550289154053	0.4771938	Yes	
row_12	NLRP12	440	2.240342617034912	0.51190704	Yes	
row_13	CLEC7A	495	2.1293423175811768	0.54165244	Yes	
row_14	LGALS9	814	1.671234130859375	0.5444406	Yes	
row_15	LPL	951	1.5376777648925781	0.55868554	Yes	
row_16	NAIP	1053	1.4441561698913574	0.5740577	Yes	
row_17	PYCARD	1054	1.442765235900879	0.5969411	Yes	
row_18	P2RX7	1153	1.3598248958587646	0.6111995	Yes	
row_19	AIM2	1203	1.325404167175293	0.6285667	Yes	
row_20	CCL3	1225	1.3013583421707153	0.64764094	Yes	
row_21	JAK2	1279	1.2654136419296265	0.6637583	Yes	
row_22	TNF	1303	1.2534410953521729	0.6819234	Yes	
row_23	TLR6	1407	1.1905925273895264	0.69312465	Yes	
row_24	TMEM106A	2614	0.6741520762443542	0.61386424	No	
row_25	CARD8	2892	0.5937620997428894	0.60262096	No	
row_26	GSDMD	2925	0.5868048667907715	0.60954136	No	
row_27	GBP5	3060	0.55439692735672	0.6083398	No	
row_28	FZD5	3704	0.4162583351135254	0.566982	No	
row_29	CASP8	4390	0.30761751532554626	0.5207683	No	
row_30	NLRP1	5131	0.20629830658435822	0.46884534	No	
row_31	TRIM16	5151	0.2040497064590454	0.47066456	No	
row_32	IFI16	5205	0.19698241353034973	0.4698357	No	
row_33	IFNG	5219	0.1954549252986908	0.47196615	No	
row_34	STAT3	6023	0.10652244836091995	0.4137616	No	
row_35	F2RL1	7214	0.0068771010264754295	0.32511106	No	
row_36	S100A13	7452	-0.008539359085261822	0.30756918	No	
row_37	HSPB1	7646	-0.023867694661021233	0.29355228	No	
row_38	AZU1	8226	-0.07353638857603073	0.25153223	No	
row_39	MYD88	8538	-0.10463295876979828	0.22999495	No	
row_40	NLRP3	8653	-0.1161704882979393	0.22333449	No	
row_41	AGER	8981	-0.14869628846645355	0.20130269	No	
row_42	IL16	10199	-0.317050576210022	0.1155579	No	
row_43	HMGB1	10212	-0.3197058141231537	0.11973365	No	
row_44	MALT1	11045	-0.49456995725631714	0.06552081	No	
row_45	TMED10	11222	-0.5403546094894409	0.06096381	No	
row_46	RIPK2	11633	-0.6686803102493286	0.040988594	No	
row_47	NLRP2	12402	-1.0784828662872314	8.107237E-4	No	
row_48	RELA	12695	-1.3226547241210938	9.460906E-6	No	
row_49	IGHD	12937	-1.5805402994155884	0.0071024606	No	
row_50	EGR1	13166	-1.9928733110427856	0.021705044	No	
