NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	TLR4	168	2.9918103218078613	0.031130457	Yes	
row_1	LILRA5	249	2.672950267791748	0.06417837	Yes	
row_2	TLR2	263	2.625957727432251	0.101544335	Yes	
row_3	PSEN1	278	2.5704727172851562	0.13802558	Yes	
row_4	CLU	282	2.5633254051208496	0.17522405	Yes	
row_5	TLR1	311	2.4981987476348877	0.2096045	Yes	
row_6	TYROBP	376	2.3551292419433594	0.23920749	Yes	
row_7	LILRA2	379	2.3514389991760254	0.27338728	Yes	
row_8	NOD2	395	2.3127284049987793	0.30603096	Yes	
row_9	PF4	425	2.2620291709899902	0.33688885	Yes	
row_10	APP	428	2.2605550289154053	0.3697418	Yes	
row_11	TNFRSF8	450	2.220762014389038	0.4005947	Yes	
row_12	CLEC7A	495	2.1293423175811768	0.42839515	Yes	
row_13	OAS1	616	1.9248392581939697	0.4475337	Yes	
row_14	FCGR2A	762	1.7357012033462524	0.4620438	Yes	
row_15	PTPRJ	797	1.6849050521850586	0.4841027	Yes	
row_16	LGALS9	814	1.671234130859375	0.5073064	Yes	
row_17	LPL	951	1.5376777648925781	0.51959765	Yes	
row_18	PYCARD	1054	1.442765235900879	0.5330427	Yes	
row_19	LY96	1164	1.351539969444275	0.5446331	Yes	
row_20	CCL3	1225	1.3013583421707153	0.55915064	Yes	
row_21	JAK2	1279	1.2654136419296265	0.5736662	Yes	
row_22	IFIH1	1425	1.175995111465454	0.580005	Yes	
row_23	CD84	1457	1.1603052616119385	0.5946292	Yes	
row_24	CCR2	1462	1.1572940349578857	0.611226	Yes	
row_25	IFNGR1	1485	1.146496295928955	0.62632084	Yes	
row_26	OAS3	1508	1.131471872329712	0.6411963	Yes	
row_27	CYBA	1805	0.9848044514656067	0.63346595	Yes	
row_28	SYK	1834	0.9683475494384766	0.6455118	Yes	
row_29	CD14	1868	0.9534891843795776	0.6569673	Yes	
row_30	PTPRC	2018	0.8924437761306763	0.6588677	Yes	
row_31	FCGR3A	2146	0.8376728892326355	0.6616117	Yes	
row_32	EPHB2	2354	0.7569348216056824	0.6572019	No	
row_33	OAS2	2454	0.7242183685302734	0.6603808	No	
row_34	TMEM106A	2614	0.6741520762443542	0.6583474	No	
row_35	MAVS	3115	0.541443943977356	0.62890804	No	
row_36	ARHGEF2	3237	0.5135975480079651	0.62736887	No	
row_37	SPN	3278	0.5033532381057739	0.6317299	No	
row_38	FADD	3302	0.49834144115448	0.63728744	No	
row_39	SPHK2	3552	0.44475623965263367	0.6251832	No	
row_40	FZD5	3704	0.4162583351135254	0.6199823	No	
row_41	TLR3	4384	0.30783170461654663	0.57376313	No	
row_42	MMP8	4484	0.2923404574394226	0.570637	No	
row_43	TLR9	5182	0.19915828108787537	0.5214869	No	
row_44	FCGR2B	5183	0.19909419119358063	0.5243935	No	
row_45	IFNG	5219	0.1954549252986908	0.5246329	No	
row_46	STAT3	6023	0.10652244836091995	0.4662134	No	
row_47	CD2	6033	0.10555119812488556	0.46708217	No	
row_48	SETD4	6304	0.07961303740739822	0.44807866	No	
row_49	TIRAP	6330	0.07688269019126892	0.4473339	No	
row_50	HLA-E	6937	0.02770467847585678	0.40247732	No	
row_51	DDT	7321	-1.7760979244485497E-4	0.37387434	No	
row_52	RIPK1	7619	-0.022359320893883705	0.3520184	No	
row_53	HAVCR2	7627	-0.022697098553180695	0.35182694	No	
row_54	HSPB1	7646	-0.023867694661021233	0.35083097	No	
row_55	ARFGEF2	7713	-0.030353764072060585	0.3463447	No	
row_56	AZU1	8226	-0.07353638857603073	0.30917794	No	
row_57	AGER	8981	-0.14869628846645355	0.25503388	No	
row_58	FRMD8	9633	-0.23029296100139618	0.20977399	No	
row_59	RASGRP1	9853	-0.260037899017334	0.19721362	No	
row_60	DHX9	10035	-0.2876226305961609	0.18789412	No	
row_61	HMGB1	10212	-0.3197058141231537	0.17941646	No	
row_62	PLCG2	10365	-0.3450727164745331	0.17310165	No	
row_63	FCGR2C	10561	-0.3861844837665558	0.16417544	No	
row_64	THBS1	11118	-0.5140611529350281	0.1301537	No	
row_65	TGFB1	11413	-0.599976122379303	0.11695456	No	
row_66	MIF	11447	-0.6095079779624939	0.123388186	No	
row_67	PTPN11	11586	-0.6522005796432495	0.12260283	No	
row_68	IL23A	12530	-1.1688307523727417	0.06923588	No	
