NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	RPL36A	3589	0.4378760755062103	-0.25931698	No	
row_1	RPL37	3602	0.4361671209335327	-0.25134933	No	
row_2	RPL26	3934	0.37590381503105164	-0.26844624	No	
row_3	RPL11	4327	0.31657394766807556	-0.29130763	No	
row_4	RPS24	4707	0.2604716718196869	-0.31433767	No	
row_5	RPS3	5500	0.16152596473693848	-0.3702433	No	
row_6	RPL41	5635	0.1452062875032425	-0.3773064	No	
row_7	RPS12	6209	0.08738674223423004	-0.41835234	No	
row_8	RPL17	6248	0.0838126391172409	-0.41948882	No	
row_9	RPL23	6573	0.0559004582464695	-0.44256616	No	
row_10	RPS11	7104	0.015110130421817303	-0.48186746	No	
row_11	RPS15A	8345	-0.08610083162784576	-0.57278633	No	
row_12	RPS18	8426	-0.09383779019117355	-0.5768578	No	
row_13	RPL27A	8524	-0.10352902114391327	-0.5820028	No	
row_14	RPLP1	8572	-0.1084393784403801	-0.58331144	No	
row_15	RPL15	8722	-0.12334395200014114	-0.5919398	No	
row_16	UBA52	8891	-0.14134588837623596	-0.60162234	No	
row_17	RPL39	8910	-0.14269839227199554	-0.6000674	No	
row_18	RPSA	9063	-0.1573823243379593	-0.6082282	No	
row_19	RPS16	9300	-0.18732839822769165	-0.622058	No	
row_20	RPS6	9586	-0.22403161227703094	-0.6388038	No	
row_21	RPS13	9662	-0.23440289497375488	-0.63964486	No	
row_22	RPL32	9676	-0.2369772344827652	-0.6358002	No	
row_23	RPL29	9782	-0.25086086988449097	-0.63854873	No	
row_24	RPL38	9788	-0.25164443254470825	-0.63380814	No	
row_25	RPS29	10058	-0.29223084449768066	-0.6479721	No	
row_26	RPL31	10252	-0.3261227011680603	-0.6557676	Yes	
row_27	RPL35A	10270	-0.32951393723487854	-0.6503412	Yes	
row_28	RPL37A	10274	-0.3304482400417328	-0.64384955	Yes	
row_29	RPL5	10278	-0.3313514292240143	-0.63733953	Yes	
row_30	RPS7	10441	-0.3591044545173645	-0.642148	Yes	
row_31	RPL6	10478	-0.36668235063552856	-0.63738614	Yes	
row_32	RPL27	10538	-0.3789865970611572	-0.63409305	Yes	
row_33	RPL30	10566	-0.3872915208339691	-0.62823975	Yes	
row_34	RPL34	10576	-0.38950273394584656	-0.6209963	Yes	
row_35	RPL22	10613	-0.39576563239097595	-0.6156433	Yes	
row_36	RPS3A	10668	-0.4107013940811157	-0.611332	Yes	
row_37	RPS17	10883	-0.45405298471450806	-0.61809695	Yes	
row_38	RPL24	10910	-0.4582880139350891	-0.610726	Yes	
row_39	RPL21	11059	-0.49887779355049133	-0.6116475	Yes	
row_40	RPS27	11069	-0.5012853741645813	-0.60213226	Yes	
row_41	RPL18A	11139	-0.5176135301589966	-0.5967691	Yes	
row_42	RPS20	11144	-0.51897132396698	-0.58652073	Yes	
row_43	RPS23	11229	-0.5434653162956238	-0.5817532	Yes	
row_44	RPS8	11262	-0.5521700978279114	-0.57292265	Yes	
row_45	RPL4	11311	-0.5660585165023804	-0.56500554	Yes	
row_46	RPL23A	11370	-0.5854529738426208	-0.5574416	Yes	
row_47	RPL28	11384	-0.5901389122009277	-0.5464195	Yes	
row_48	RPL7A	11403	-0.5971387028694153	-0.53562874	Yes	
row_49	RPL12	11449	-0.6106153726577759	-0.5265819	Yes	
row_50	RPL7	11476	-0.6191550493240356	-0.51594156	Yes	
row_51	RPS14	11555	-0.6427628397941589	-0.5087076	Yes	
row_52	RPS21	11612	-0.6616195440292358	-0.4994462	Yes	
row_53	RPS10	11642	-0.6727980375289917	-0.48793986	Yes	
row_54	RPS25	11800	-0.7412774562835693	-0.4846076	Yes	
row_55	RPL8	11941	-0.8052738904953003	-0.47870424	Yes	
row_56	RPS26	11993	-0.8283994197845459	-0.46567965	Yes	
row_57	RPL19	12104	-0.8788985013961792	-0.456038	Yes	
row_58	FAU	12129	-0.890110433101654	-0.43974146	Yes	
row_59	RPL14	12158	-0.903551459312439	-0.42347068	Yes	
row_60	RPL36	12166	-0.9083755016326904	-0.40553248	Yes	
row_61	RPS28	12168	-0.9085152745246887	-0.38714305	Yes	
row_62	RPL13A	12299	-1.003041386604309	-0.376473	Yes	
row_63	RPL35	12319	-1.0161477327346802	-0.3572413	Yes	
row_64	RPLP0	12378	-1.0580681562423706	-0.34007218	Yes	
row_65	RPS9	12440	-1.1030563116073608	-0.32221296	Yes	
row_66	RPL10	12588	-1.2183289527893066	-0.30843803	Yes	
row_67	RPL18	12660	-1.2833889722824097	-0.28766114	Yes	
row_68	RPL10A	12683	-1.2977042198181152	-0.2629314	Yes	
row_69	RPLP2	12738	-1.3611454963684082	-0.2393038	Yes	
row_70	RPS19	12757	-1.3827800750732422	-0.21254611	Yes	
row_71	RPL13	12768	-1.393127202987671	-0.18498026	Yes	
row_72	RPL3	12804	-1.4161235094070435	-0.15881537	Yes	
row_73	RPS5	12873	-1.5016744136810303	-0.13337797	Yes	
row_74	RPS15	12958	-1.6033239364624023	-0.10707043	Yes	
row_75	RPS2	13063	-1.730333685874939	-0.07967626	Yes	
row_76	RPS4X	13446	-5.365533351898193	8.220314E-4	Yes	
