NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DMXL2	66	3.6369969844818115	0.053105254	Yes	
row_1	SLC11A1	81	3.502595901489258	0.10794886	Yes	
row_2	ATP6V1A	286	2.5533289909362793	0.13345796	Yes	
row_3	LRRK2	422	2.265474796295166	0.15952626	Yes	
row_4	RAB39A	431	2.2568719387054443	0.19494055	Yes	
row_5	TMEM165	448	2.22221040725708	0.2292044	Yes	
row_6	ATP6V1B2	449	2.2211363315582275	0.26464587	Yes	
row_7	CLCN3	498	2.124410390853882	0.2949597	Yes	
row_8	ATP6V0D1	512	2.0949788093566895	0.3274174	Yes	
row_9	LACC1	525	2.0780839920043945	0.35968018	Yes	
row_10	ATP6V0E1	661	1.8631542921066284	0.37932888	Yes	
row_11	TM9SF4	765	1.733551025390625	0.39929906	Yes	
row_12	ATP6V1D	769	1.7271398305892944	0.42663404	Yes	
row_13	LAMP1	876	1.6067581176757812	0.44435704	Yes	
row_14	CHP1	1028	1.4627057313919067	0.45642126	Yes	
row_15	GRN	1087	1.4079663753509521	0.47455645	Yes	
row_16	ATP6V0B	1113	1.3871092796325684	0.494823	Yes	
row_17	SLC4A2	1116	1.3849114179611206	0.5167719	Yes	
row_18	RNASEK	1120	1.3820048570632935	0.53859985	Yes	
row_19	ATP6AP2	1146	1.3625261783599854	0.5584741	Yes	
row_20	LAMP2	1200	1.3265522718429565	0.5756836	Yes	
row_21	TPCN2	1222	1.3034095764160156	0.5949133	Yes	
row_22	ATP6V0A1	1261	1.2771326303482056	0.6124543	Yes	
row_23	SLC9A9	1463	1.156846046447754	0.6159045	Yes	
row_24	CLN5	1469	1.1552258729934692	0.6339644	Yes	
row_25	ATP6V1F	1627	1.070587396621704	0.6393238	Yes	
row_26	SLC26A6	1654	1.0530540943145752	0.65418535	Yes	
row_27	CA2	1696	1.0347572565078735	0.66763484	Yes	
row_28	TCIRG1	1710	1.0294729471206665	0.68309087	Yes	
row_29	PPT1	1721	1.0236546993255615	0.6986781	Yes	
row_30	CLN6	2205	0.8131253123283386	0.67558634	No	
row_31	ATP6AP1	2392	0.7434617280960083	0.6735605	No	
row_32	CLN3	2550	0.6958177089691162	0.67293984	No	
row_33	DMXL1	2672	0.656230092048645	0.6743757	No	
row_34	GPR89A	3015	0.566007137298584	0.6578695	No	
row_35	GPR89B	3291	0.5008565187454224	0.6453268	No	
row_36	RAB38	3405	0.4777715802192688	0.6445125	No	
row_37	TMEM175	3642	0.42992517352104187	0.6337501	No	
row_38	HVCN1	3913	0.3800691068172455	0.61965334	No	
row_39	SLC4A1	4208	0.332818865776062	0.60301054	No	
row_40	SLC4A3	4218	0.3318684697151184	0.60763395	No	
row_41	CCDC115	4642	0.2701323926448822	0.58035827	No	
row_42	ATP1A4	4785	0.24977007508277893	0.57374036	No	
row_43	SLAMF8	4790	0.24937091767787933	0.5774208	No	
row_44	SLC4A8	5557	0.15425914525985718	0.52268386	No	
row_45	VPS33A	5749	0.133763387799263	0.510556	No	
row_46	ATP6V0A2	5878	0.12095446139574051	0.5029281	No	
row_47	SLC9A6	6524	0.06019427254796028	0.45572546	No	
row_48	ATP6AP1L	6761	0.04038265347480774	0.43874738	No	
row_49	SLC9A4	6806	0.03739544376730919	0.43605852	No	
row_50	TMEM199	6978	0.024390198290348053	0.4236789	No	
row_51	ATP6V1H	7320	-1.371011749142781E-4	0.39821813	No	
row_52	SLC4A7	7639	-0.023292632773518562	0.37484428	No	
row_53	TMEM9	8113	-0.06357342004776001	0.3405391	No	
row_54	RAB20	8312	-0.08260197192430496	0.32707217	No	
row_55	ATP6V0C	8616	-0.11185050755739212	0.30623147	No	
row_56	SLC4A10	8618	-0.11213504523038864	0.30794606	No	
row_57	BCL2	8669	-0.11819742619991302	0.30609852	No	
row_58	SLC9B1	8755	-0.12700454890727997	0.301778	No	
row_59	ATP6V0E2	8841	-0.13580942153930664	0.29759794	No	
row_60	SLC9A1	10044	-0.2890107333660126	0.21245445	No	
row_61	SLC9A7	10659	-0.40795156359672546	0.17311564	No	
row_62	SLC4A4	10770	-0.4332583248615265	0.17181505	No	
row_63	SLC9A8	11342	-0.5742262601852417	0.13834028	No	
row_64	RAB7A	11433	-0.6043499708175659	0.14126313	No	
row_65	SLC4A5	11458	-0.6139938235282898	0.14926818	No	
