NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DMXL2	66	3.6369969844818115	0.055385496	Yes	
row_1	SLC11A1	81	3.502595901489258	0.11242425	Yes	
row_2	ATP6V1A	286	2.5533289909362793	0.13953681	Yes	
row_3	LRRK2	422	2.265474796295166	0.16702703	Yes	
row_4	RAB39A	431	2.2568719387054443	0.20385574	Yes	
row_5	TMEM165	448	2.22221040725708	0.23951241	Yes	
row_6	ATP6V1B2	449	2.2211363315582275	0.27634576	Yes	
row_7	CLCN3	498	2.124410390853882	0.30799165	Yes	
row_8	ATP6V0D1	512	2.0949788093566895	0.3417624	Yes	
row_9	ATP6V0E1	661	1.8631542921066284	0.36161038	Yes	
row_10	TM9SF4	765	1.733551025390625	0.3826686	Yes	
row_11	ATP6V1D	769	1.7271398305892944	0.411086	Yes	
row_12	LAMP1	876	1.6067581176757812	0.42981762	Yes	
row_13	CHP1	1028	1.4627057313919067	0.44280097	Yes	
row_14	GRN	1087	1.4079663753509521	0.46181944	Yes	
row_15	ATP6V0B	1113	1.3871092796325684	0.48295566	Yes	
row_16	SLC4A2	1116	1.3849114179611206	0.5057725	Yes	
row_17	RNASEK	1120	1.3820048570632935	0.52846646	Yes	
row_18	ATP6AP2	1146	1.3625261783599854	0.549195	Yes	
row_19	LAMP2	1200	1.3265522718429565	0.56723666	Yes	
row_20	TPCN2	1222	1.3034095764160156	0.5872835	Yes	
row_21	ATP6V0A1	1261	1.2771326303482056	0.60562545	Yes	
row_22	SLC9A9	1463	1.156846046447754	0.6098039	Yes	
row_23	CLN5	1469	1.1552258729934692	0.6285879	Yes	
row_24	ATP6V1F	1627	1.070587396621704	0.6346208	Yes	
row_25	SLC26A6	1654	1.0530540943145752	0.65014267	Yes	
row_26	CA2	1696	1.0347572565078735	0.6642413	Yes	
row_27	TCIRG1	1710	1.0294729471206665	0.6803427	Yes	
row_28	PPT1	1721	1.0236546993255615	0.69657147	Yes	
row_29	CLN6	2205	0.8131253123283386	0.6739974	No	
row_30	ATP6AP1	2392	0.7434617280960083	0.6724405	No	
row_31	CLN3	2550	0.6958177089691162	0.67225856	No	
row_32	DMXL1	2672	0.656230092048645	0.6741077	No	
row_33	GPR89A	3015	0.566007137298584	0.6579619	No	
row_34	GPR89B	3291	0.5008565187454224	0.6457376	No	
row_35	RAB38	3405	0.4777715802192688	0.6452246	No	
row_36	TMEM175	3642	0.42992517352104187	0.6347355	No	
row_37	HVCN1	3913	0.3800691068172455	0.6208815	No	
row_38	SLC4A1	4208	0.332818865776062	0.6044522	No	
row_39	SLC4A3	4218	0.3318684697151184	0.6092837	No	
row_40	CCDC115	4642	0.2701323926448822	0.5821844	No	
row_41	SLAMF8	4790	0.24937091767787933	0.57534546	No	
row_42	SLC4A8	5557	0.15425914525985718	0.52071804	No	
row_43	VPS33A	5749	0.133763387799263	0.5086772	No	
row_44	ATP6V0A2	5878	0.12095446139574051	0.5011272	No	
row_45	SLC9A6	6524	0.06019427254796028	0.4539731	No	
row_46	SLC9A4	6806	0.03739544376730919	0.43361527	No	
row_47	TMEM199	6978	0.024390198290348053	0.42125377	No	
row_48	ATP6V1H	7320	-1.371011749142781E-4	0.3957988	No	
row_49	SLC4A7	7639	-0.023292632773518562	0.37244487	No	
row_50	TMEM9	8113	-0.06357342004776001	0.33818743	No	
row_51	RAB20	8312	-0.08260197192430496	0.32477558	No	
row_52	ATP6V0C	8616	-0.11185050755739212	0.30401003	No	
row_53	SLC4A10	8618	-0.11213504523038864	0.30579492	No	
row_54	BCL2	8669	-0.11819742619991302	0.30402228	No	
row_55	SLC9B1	8755	-0.12700454890727997	0.29978275	No	
row_56	ATP6V0E2	8841	-0.13580942153930664	0.29568923	No	
row_57	SLC9A1	10044	-0.2890107333660126	0.21074696	No	
row_58	SLC9A7	10659	-0.40795156359672546	0.17167406	No	
row_59	SLC4A4	10770	-0.4332583248615265	0.1706468	No	
row_60	SLC9A8	11342	-0.5742262601852417	0.13754141	No	
row_61	RAB7A	11433	-0.6043499708175659	0.1408445	No	
row_62	SLC4A5	11458	-0.6139938235282898	0.1492347	No	
