NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ATP6V1A	286	2.5533289909362793	0.076600395	Yes	
row_1	LRRK2	422	2.265474796295166	0.1534058	Yes	
row_2	TMEM165	448	2.22221040725708	0.2367413	Yes	
row_3	ATP6V1D	769	1.7271398305892944	0.2791356	Yes	
row_4	LAMP1	876	1.6067581176757812	0.3328456	Yes	
row_5	GRN	1087	1.4079663753509521	0.371192	Yes	
row_6	ATP6V0B	1113	1.3871092796325684	0.42251083	Yes	
row_7	RNASEK	1120	1.3820048570632935	0.47504842	Yes	
row_8	ATP6AP2	1146	1.3625261783599854	0.5254248	Yes	
row_9	LAMP2	1200	1.3265522718429565	0.5723375	Yes	
row_10	ATP6V0A1	1261	1.2771326303482056	0.61683446	Yes	
row_11	CLN5	1469	1.1552258729934692	0.64571446	Yes	
row_12	ATP6V1F	1627	1.070587396621704	0.6750717	Yes	
row_13	TCIRG1	1710	1.0294729471206665	0.708436	Yes	
row_14	PPT1	1721	1.0236546993255615	0.7469371	Yes	
row_15	CLN6	2205	0.8131253123283386	0.742155	Yes	
row_16	ATP6AP1	2392	0.7434617280960083	0.75681186	Yes	
row_17	CLN3	2550	0.6958177089691162	0.771801	Yes	
row_18	TMEM175	3642	0.42992517352104187	0.7070658	No	
row_19	CCDC115	4642	0.2701323926448822	0.6430533	No	
row_20	VPS33A	5749	0.133763387799263	0.56584704	No	
row_21	TMEM199	6978	0.024390198290348053	0.47536546	No	
row_22	ATP6V1H	7320	-1.371011749142781E-4	0.44998547	No	
row_23	TMEM9	8113	-0.06357342004776001	0.39346352	No	
row_24	ATP6V0C	8616	-0.11185050755739212	0.36038107	No	
