NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SLC11A1	81	3.502595901489258	0.091585726	Yes	
row_1	NCF2	192	2.889641284942627	0.16392912	Yes	
row_2	NCF4	197	2.8632795810699463	0.2434306	Yes	
row_3	ATP6V1A	286	2.5533289909362793	0.30803913	Yes	
row_4	ATP6V1E1	355	2.382667303085327	0.36938053	Yes	
row_5	ATP6V1B2	449	2.2211363315582275	0.42435858	Yes	
row_6	CYBB	469	2.1861300468444824	0.48387107	Yes	
row_7	ATP6V0D1	512	2.0949788093566895	0.53913057	Yes	
row_8	NCF1	602	1.9468986988067627	0.5867635	Yes	
row_9	ATP6V0E1	661	1.8631542921066284	0.63437074	Yes	
row_10	ATP6V1D	769	1.7271398305892944	0.67453873	Yes	
row_11	ATP6V0B	1113	1.3871092796325684	0.6876575	Yes	
row_12	ATP6V0A1	1261	1.2771326303482056	0.71230537	Yes	
row_13	MPO	1547	1.1095296144485474	0.72200674	Yes	
row_14	ATP6V1F	1627	1.070587396621704	0.74596155	Yes	
row_15	TCIRG1	1710	1.0294729471206665	0.7685471	Yes	
row_16	CYBA	1805	0.9848044514656067	0.78899425	Yes	
row_17	ATP6V1C1	2458	0.7228444218635559	0.76059186	No	
row_18	HVCN1	3913	0.3800691068172455	0.6629192	No	
row_19	ATP6V0A2	5878	0.12095446139574051	0.52005047	No	
row_20	ATP6V1H	7320	-1.371011749142781E-4	0.4127572	No	
row_21	ATP6V1G2	7350	-0.0016878943424671888	0.4106449	No	
row_22	ATP6V0C	8616	-0.11185050755739212	0.31957003	No	
row_23	RAC2	8746	-0.12618446350097656	0.31348145	No	
row_24	ATP6V0E2	8841	-0.13580942153930664	0.31026718	No	
row_25	ATP6V1G1	9156	-0.16709108650684357	0.29154348	No	
row_26	ATP6V1E2	10276	-0.33110809326171875	0.21745053	No	
row_27	NOS3	11689	-0.6936820149421692	0.13164562	No	
