NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYL9	4	5.163087368011475	0.09446096	Yes	
row_1	TPM1	16	4.572319030761719	0.17755787	Yes	
row_2	ACTC1	32	4.144822120666504	0.25251082	Yes	
row_3	MYH7	38	4.012892246246338	0.32578754	Yes	
row_4	TNNT2	41	3.9820566177368164	0.39872187	Yes	
row_5	ACTN2	72	3.600071430206299	0.46255925	Yes	
row_6	MYH6	120	3.2364346981048584	0.5184561	Yes	
row_7	MYBPC3	205	2.8062057495117188	0.5637	Yes	
row_8	FLNC	418	2.2702231407165527	0.5895696	Yes	
row_9	CSRP1	437	2.251962184906006	0.6295591	Yes	
row_10	ANKRD1	453	2.218210458755493	0.6691526	Yes	
row_11	MYOM1	670	1.8546396493911743	0.68709695	Yes	
row_12	FLII	864	1.620785117149353	0.70246303	Yes	
row_13	PDGFRB	1241	1.2871710062026978	0.69807094	Yes	
row_14	TMOD3	1305	1.2522926330566406	0.71636033	Yes	
row_15	WDR1	1460	1.1592499017715454	0.72616166	Yes	
row_16	MEF2A	1852	0.9604088664054871	0.71465474	No	
row_17	TTN	2405	0.7396401762962341	0.68709993	No	
row_18	CAPN3	2724	0.6396756768226624	0.6751458	No	
row_19	NEBL	3388	0.48275262117385864	0.63460565	No	
row_20	SYNPO2L	3821	0.3926422595977783	0.6096235	No	
row_21	TMOD1	4219	0.33181121945381165	0.58613276	No	
row_22	TMOD2	4526	0.2866508960723877	0.5685936	No	
row_23	CFLAR	5061	0.2153150588274002	0.5327569	No	
row_24	PGM5	5212	0.19606536626815796	0.52517885	No	
row_25	TCAP	6105	0.09693329781293869	0.46049488	No	
row_26	MYH3	6398	0.07109563052654266	0.44004276	No	
row_27	MYBPC2	8004	-0.05498630180954933	0.32146323	No	
row_28	MYLK3	8473	-0.09909050911664963	0.2884111	No	
row_29	PDGFRA	8596	-0.10989353060722351	0.28133777	No	
row_30	TNNT1	9918	-0.2698477804660797	0.1878625	No	
row_31	SIX4	10185	-0.3146671950817108	0.17381795	No	
row_32	SDC1	10955	-0.4716781973838806	0.12517647	No	
row_33	NEB	10986	-0.47833332419395447	0.13172011	No	
row_34	OBSCN	11336	-0.572119414806366	0.11621628	No	
row_35	TNNT3	11506	-0.6266084909439087	0.11512432	No	
row_36	MYOM2	12996	-1.6438878774642944	0.03434933	No	
