NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	DMXL2	66	3.6369969844818115	0.09822209	Yes	
row_1	SLC11A1	81	3.502595901489258	0.1965051	Yes	
row_2	ATP6V1A	286	2.5533289909362793	0.2537206	Yes	
row_3	ATP6V1B2	449	2.2211363315582275	0.30464345	Yes	
row_4	ATP6V0D1	512	2.0949788093566895	0.35943532	Yes	
row_5	ATP6V0E1	661	1.8631542921066284	0.40124914	Yes	
row_6	ATP6V1D	769	1.7271398305892944	0.442259	Yes	
row_7	LAMP1	876	1.6067581176757812	0.4799296	Yes	
row_8	GRN	1087	1.4079663753509521	0.50421846	Yes	
row_9	ATP6V0B	1113	1.3871092796325684	0.541692	Yes	
row_10	RNASEK	1120	1.3820048570632935	0.5804357	Yes	
row_11	ATP6AP2	1146	1.3625261783599854	0.6172122	Yes	
row_12	LAMP2	1200	1.3265522718429565	0.65088344	Yes	
row_13	ATP6V0A1	1261	1.2771326303482056	0.682632	Yes	
row_14	CLN5	1469	1.1552258729934692	0.69997716	Yes	
row_15	ATP6V1F	1627	1.070587396621704	0.7186454	Yes	
row_16	TCIRG1	1710	1.0294729471206665	0.7417327	Yes	
row_17	PPT1	1721	1.0236546993255615	0.77001655	Yes	
row_18	CLN6	2205	0.8131253123283386	0.757108	Yes	
row_19	ATP6AP1	2392	0.7434617280960083	0.76434016	Yes	
row_20	CLN3	2550	0.6958177089691162	0.7723808	Yes	
row_21	DMXL1	2672	0.656230092048645	0.7819797	Yes	
row_22	CCDC115	4642	0.2701323926448822	0.643017	No	
row_23	ATP6V0A2	5878	0.12095446139574051	0.55448186	No	
row_24	TMEM199	6978	0.024390198290348053	0.47333568	No	
row_25	ATP6V1H	7320	-1.371011749142781E-4	0.44794676	No	
row_26	TMEM9	8113	-0.06357342004776001	0.39077273	No	
row_27	ATP6V0C	8616	-0.11185050755739212	0.35656276	No	
row_28	ATP6V0E2	8841	-0.13580942153930664	0.3437337	No	
