NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
HALLMARK_P53_PATHWAY%MSIGDBHALLMARK%HALLMARK_P53_PATHWAY	183	154		
HALLMARK_MITOTIC_SPINDLE%MSIGDBHALLMARK%HALLMARK_MITOTIC_SPINDLE	160	143		
HALLMARK_PI3K_AKT_MTOR_SIGNALING%MSIGDBHALLMARK%HALLMARK_PI3K_AKT_MTOR_SIGNALING	93	71		
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION%MSIGDBHALLMARK%HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	166	92		
HALLMARK_GLYCOLYSIS%MSIGDBHALLMARK%HALLMARK_GLYCOLYSIS	169	117		
HALLMARK_WNT_BETA_CATENIN_SIGNALING%MSIGDBHALLMARK%HALLMARK_WNT_BETA_CATENIN_SIGNALING	33	27		
HALLMARK_SPERMATOGENESIS%MSIGDBHALLMARK%HALLMARK_SPERMATOGENESIS	106	49		
HALLMARK_APOPTOSIS%MSIGDBHALLMARK%HALLMARK_APOPTOSIS	134	113		
HALLMARK_G2M_CHECKPOINT%MSIGDBHALLMARK%HALLMARK_G2M_CHECKPOINT	154	132		
HALLMARK_COMPLEMENT%MSIGDBHALLMARK%HALLMARK_COMPLEMENT	154	117		
HALLMARK_E2F_TARGETS%MSIGDBHALLMARK%HALLMARK_E2F_TARGETS	167	154		
HALLMARK_FATTY_ACID_METABOLISM%MSIGDBHALLMARK%HALLMARK_FATTY_ACID_METABOLISM	126	89		
HALLMARK_TNFA_SIGNALING_VIA_NFKB%MSIGDBHALLMARK%HALLMARK_TNFA_SIGNALING_VIA_NFKB	174	149		
HALLMARK_HEDGEHOG_SIGNALING%MSIGDBHALLMARK%HALLMARK_HEDGEHOG_SIGNALING	28	19		
HALLMARK_CHOLESTEROL_HOMEOSTASIS%MSIGDBHALLMARK%HALLMARK_CHOLESTEROL_HOMEOSTASIS	64	52		
HALLMARK_INFLAMMATORY_RESPONSE%MSIGDBHALLMARK%HALLMARK_INFLAMMATORY_RESPONSE	183	139		
HALLMARK_TGF_BETA_SIGNALING%MSIGDBHALLMARK%HALLMARK_TGF_BETA_SIGNALING	45	38		
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_GAMMA_RESPONSE	173	160		
HALLMARK_UV_RESPONSE_DN%MSIGDBHALLMARK%HALLMARK_UV_RESPONSE_DN	118	88		
HALLMARK_IL6_JAK_STAT3_SIGNALING%MSIGDBHALLMARK%HALLMARK_IL6_JAK_STAT3_SIGNALING	79	65		
HALLMARK_DNA_REPAIR%MSIGDBHALLMARK%HALLMARK_DNA_REPAIR	127	111		
HALLMARK_ADIPOGENESIS%MSIGDBHALLMARK%HALLMARK_ADIPOGENESIS	166	134		
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDBHALLMARK%HALLMARK_INTERFERON_ALPHA_RESPONSE	86	80		
HALLMARK_ALLOGRAFT_REJECTION%MSIGDBHALLMARK%HALLMARK_ALLOGRAFT_REJECTION	175	139		
HALLMARK_ESTROGEN_RESPONSE_EARLY%MSIGDBHALLMARK%HALLMARK_ESTROGEN_RESPONSE_EARLY	178	118		
HALLMARK_HYPOXIA%MSIGDBHALLMARK%HALLMARK_HYPOXIA	159	99		
