NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	PROTEIN SYNTHESIS: GLYCINE%PATHWHIZ%PW112928	Details ...	77	-0.66239554	-2.4005735	0.0	0.0	0.0	3207	tags=66%, list=24%, signal=86%	
PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	PROTEIN SYNTHESIS: VALINE%PATHWHIZ%PW120528	Details ...	77	-0.66239554	-2.3974576	0.0	0.0	0.0	3207	tags=66%, list=24%, signal=86%	
PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	PROTEIN SYNTHESIS: METHIONINE%PATHWHIZ%PW112933	Details ...	77	-0.66239554	-2.396833	0.0	0.0	0.0	3207	tags=66%, list=24%, signal=86%	
PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	PROTEIN SYNTHESIS: ASPARAGINE%SMPDB%SMP0111854	Details ...	77	-0.66239554	-2.3949182	0.0	0.0	0.0	3207	tags=66%, list=24%, signal=86%	
PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	PROTEIN SYNTHESIS: ALANINE%PATHWHIZ%PW101384	Details ...	77	-0.66239554	-2.3926845	0.0	0.0	0.0	3207	tags=66%, list=24%, signal=86%	
PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	PROTEIN SYNTHESIS: TYROSINE%PATHWHIZ%PW120527	Details ...	77	-0.66239554	-2.3910377	0.0	0.0	0.0	3207	tags=66%, list=24%, signal=86%	
PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	PROTEIN SYNTHESIS: ISOLEUCINE%SMPDB%SMP0111872	Details ...	77	-0.66239554	-2.3900568	0.0	0.0	0.0	3207	tags=66%, list=24%, signal=86%	
PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	PROTEIN SYNTHESIS: PROLINE%PATHWHIZ%PW113695	Details ...	77	-0.66239554	-2.3888898	0.0	0.0	0.0	3207	tags=66%, list=24%, signal=86%	
PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	PROTEIN SYNTHESIS: SERINE%PATHWHIZ%PW120517	Details ...	77	-0.66239554	-2.3803244	0.0	0.0	0.0	3207	tags=66%, list=24%, signal=86%	
PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	PROTEIN SYNTHESIS: ARGININE%SMPDB%SMP0111853	Details ...	77	-0.66239554	-2.3787146	0.0	0.0	0.0	3207	tags=66%, list=24%, signal=86%	
