NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
RESPONSE TO ELEVATED PLATELET CYTOSOLIC CA2+%REACTOME%R-HSA-76005.4	RESPONSE TO ELEVATED PLATELET CYTOSOLIC CA2+%REACTOME%R-HSA-76005.4	Details ...	102	0.6903745	2.2629054	0.0	0.0	0.0	1754	tags=47%, list=13%, signal=54%	
PLATELET DEGRANULATION%REACTOME%R-HSA-114608.5	PLATELET DEGRANULATION%REACTOME%R-HSA-114608.5	Details ...	98	0.69396853	2.2351792	0.0	0.0	0.0	1754	tags=48%, list=13%, signal=55%	
REGULATION OF PH%GOBP%GO:0006885	REGULATION OF PH%GOBP%GO:0006885	Details ...	68	0.68856746	2.1277633	0.0	0.0	0.0	1721	tags=44%, list=13%, signal=50%	
REGULATION OF INTRACELLULAR PH%GOBP%GO:0051453	REGULATION OF INTRACELLULAR PH%GOBP%GO:0051453	Details ...	63	0.69657147	2.1235094	0.0	0.0	0.0	1721	tags=46%, list=13%, signal=53%	
POSITIVE REGULATION OF INTERLEUKIN-1 BETA PRODUCTION%GOBP%GO:0032731	POSITIVE REGULATION OF INTERLEUKIN-1 BETA PRODUCTION%GOBP%GO:0032731	Details ...	46	0.7297057	2.1203396	0.0	2.0049086E-4	0.001	1407	tags=52%, list=10%, signal=58%	
REGULATION OF CELLULAR PH%GOBP%GO:0030641	REGULATION OF CELLULAR PH%GOBP%GO:0030641	Details ...	66	0.6986781	2.116886	0.0	1.6707572E-4	0.001	1721	tags=45%, list=13%, signal=52%	
INTRACELLULAR PH REDUCTION%GOBP%GO:0051452	INTRACELLULAR PH REDUCTION%GOBP%GO:0051452	Details ...	39	0.7319427	2.102241	0.0	1.4320777E-4	0.001	1721	tags=54%, list=13%, signal=62%	
ROS AND RNS PRODUCTION IN PHAGOCYTES%REACTOME%R-HSA-1222556.11	ROS AND RNS PRODUCTION IN PHAGOCYTES%REACTOME%R-HSA-1222556.11	Details ...	28	0.78899425	2.0893414	0.0	3.7686282E-4	0.003	1805	tags=61%, list=13%, signal=70%	
ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME%R-HSA-1236975.3	ANTIGEN PROCESSING-CROSS PRESENTATION%REACTOME%R-HSA-1236975.3	Details ...	97	0.64335203	2.0848753	0.0	3.3498916E-4	0.003	1983	tags=43%, list=15%, signal=50%	
VACUOLAR ACIDIFICATION%GOBP%GO:0007035	VACUOLAR ACIDIFICATION%GOBP%GO:0007035	Details ...	29	0.7819797	2.0795004	0.0	3.0149025E-4	0.003	2672	tags=76%, list=20%, signal=94%	
