NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	MYL9	4	5.163087368011475	0.067017876	Yes	
row_1	ILK	9	4.882121562957764	0.13037251	Yes	
row_2	VWF	30	4.1633830070495605	0.18316136	Yes	
row_3	VCL	71	3.6028594970703125	0.22714853	Yes	
row_4	ITGB3	101	3.3670592308044434	0.26888278	Yes	
row_5	COL3A1	141	3.1356966495513916	0.30685374	Yes	
row_6	DGKK	175	2.9516351222991943	0.34287298	Yes	
row_7	TREML1	183	2.923753023147583	0.38047028	Yes	
row_8	GP6	188	2.912214994430542	0.41814116	Yes	
row_9	FERMT3	324	2.465965747833252	0.44021115	Yes	
row_10	PF4	425	2.2620291709899902	0.4622359	Yes	
row_11	CSRP1	437	2.251962184906006	0.49077564	Yes	
row_12	TLN1	496	2.128206491470337	0.51419204	Yes	
row_13	DGKG	580	1.983131766319275	0.53385	Yes	
row_14	GP1BB	645	1.8804765939712524	0.5535884	Yes	
row_15	FLNA	962	1.5239238739013672	0.54985946	Yes	
row_16	MAPK14	984	1.5065737962722778	0.56793404	Yes	
row_17	CLIC1	1178	1.3440735340118408	0.57104546	Yes	
row_18	METAP1	1343	1.2255311012268066	0.57477695	Yes	
row_19	GP1BA	1353	1.2203505039215088	0.5900159	Yes	
row_20	PLSCR1	1430	1.173204779624939	0.59963673	Yes	
row_21	ACTB	1437	1.168846607208252	0.6144281	Yes	
row_22	SLC6A4	1474	1.153346061706543	0.6267771	Yes	
row_23	CD9	1551	1.1079230308532715	0.63554686	Yes	
row_24	SYK	1834	0.9683475494384766	0.6271133	Yes	
row_25	MYL12A	1979	0.9098285436630249	0.62822217	Yes	
row_26	VAV1	2008	0.8980225920677185	0.6378397	Yes	
row_27	GATA1	2055	0.8766331672668457	0.64583415	Yes	
row_28	STXBP3	2119	0.8518645167350769	0.6522361	Yes	
row_29	DGKH	2164	0.8309833407402039	0.65978473	Yes	
row_30	ENTPD1	2263	0.7908626794815063	0.6627777	Yes	
row_31	PLEK	2439	0.7275662422180176	0.65919524	No	
row_32	CTSG	2522	0.7029396295547485	0.6622367	No	
row_33	P2RY12	2639	0.6668013334274292	0.662268	No	
row_34	PPIA	2948	0.5810848474502563	0.6468437	No	
row_35	FIBP	2997	0.5713682770729065	0.6507087	No	
row_36	F2RL3	3150	0.5355151891708374	0.64633983	No	
row_37	F2R	3572	0.4410041570663452	0.62065065	No	
row_38	SRC	3752	0.40702924132347107	0.6125903	No	
row_39	AXL	3987	0.36741766333580017	0.5999063	No	
row_40	VAV2	4188	0.33684396743774414	0.5893627	No	
row_41	RAP2B	4653	0.2681737244129181	0.558209	No	
row_42	ACTN1	4687	0.2632107436656952	0.55917645	No	
row_43	ACTG1	4798	0.24862152338027954	0.5542035	No	
row_44	MYH9	5010	0.22234942018985748	0.54134566	No	
row_45	GNAS	5914	0.11733008176088333	0.47544205	No	
row_46	ADAMTS13	6154	0.09293808788061142	0.45880598	No	
row_47	CD40	6436	0.067505843937397	0.43870187	No	
row_48	HBB	6592	0.05475357174873352	0.42784083	No	
row_49	VAV3	7075	0.01727389357984066	0.39207172	No	
row_50	HSPB1	7646	-0.023867694661021233	0.349817	No	
row_51	UBASH3B	7719	-0.030955705791711807	0.34484386	No	
row_52	STXBP1	7912	-0.04720991104841232	0.33112139	No	
row_53	PDGFRA	8596	-0.10989353060722351	0.28154978	No	
row_54	BLOC1S3	8806	-0.13302278518676758	0.26767665	No	
row_55	DGKE	8940	-0.14546047151088715	0.2596411	No	
row_56	TYRO3	9298	-0.18678833544254303	0.23541677	No	
row_57	DGKA	9318	-0.1898740977048874	0.2364735	No	
row_58	LCK	9401	-0.19970645010471344	0.23295377	No	
row_59	PIK3CG	9760	-0.2474934309720993	0.20944622	No	
row_60	PLCG2	10365	-0.3450727164745331	0.16884038	No	
row_61	DGKZ	10637	-0.401314914226532	0.15383527	No	
row_62	DGKQ	11187	-0.5301778316497803	0.11975006	No	
row_63	PIK3CB	11295	-0.5610740780830383	0.11907493	No	
row_64	DGKD	11657	-0.6806944012641907	0.10099145	No	
row_65	PIK3CA	12470	-1.1222805976867676	0.05498606	No	
row_66	CD40LG	12820	-1.4300819635391235	0.047569256	No	
